east,north,height,cat
8.9452448,39.3489612,20,2
8.94524162,39.34897068,20,2
8.94523845,39.34898016,20,2
8.94523527,39.34898963,20,2
8.94523209,39.34899911,20,2
8.94522892,39.34900859,20,2
8.94522574,39.34901807,20,2
8.94522256,39.34902754,20,2
8.94521938,39.34903702,20,2
8.94521621,39.3490465,20,2
8.94521303,39.34905598,20,2
8.94520985,39.34906545,20,2
8.94520668,39.34907493,20,2
8.9452035,39.34908441,20,2
8.94520032,39.34909389,20,2
8.94519715,39.34910337,20,2
8.94519397,39.34911284,20,2
8.94519079,39.34912232,20,2
8.94518762,39.3491318,20,2
8.94518444,39.34914128,20,2
8.94518126,39.34915075,20,2
8.94517808,39.34916023,20,2
8.94517491,39.34916971,20,2
8.94517173,39.34917919,20,2
8.94516855,39.34918866,20,2
8.94516538,39.34919814,20,2
8.9451622,39.34920762,20,2
8.94515902,39.3492171,20,2
8.94515585,39.34922658,20,2
8.94515267,39.34923605,20,2
8.94514949,39.34924553,20,2
8.94514632,39.34925501,20,2
8.94514314,39.34926449,20,2
8.94513996,39.34927396,20,2
8.94513678,39.34928344,20,2
8.94513361,39.34929292,20,2
8.94513043,39.3493024,20,2
8.94512725,39.34931187,20,2
8.94512408,39.34932135,20,2
8.9451209,39.34933083,20,2
8.94511772,39.34934031,20,2
8.94511455,39.34934979,20,2
8.94511137,39.34935926,20,2
8.94510819,39.34936874,20,2
8.94510502,39.34937822,20,2
8.94510184,39.3493877,20,2
8.94509866,39.34939717,20,2
8.94509548,39.34940665,20,2
8.94509231,39.34941613,20,2
8.94508913,39.34942561,20,2
8.94508595,39.34943508,20,2
8.94508278,39.34944456,20,2
8.9450796,39.34945404,20,2
8.94507642,39.34946352,20,2
8.94507325,39.349473,20,2
8.94507007,39.34948247,20,2
8.94506689,39.34949195,20,2
8.94506372,39.34950143,20,2
8.94506054,39.34951091,20,2
8.94505736,39.34952038,20,2
8.94505418,39.34952986,20,2
8.94505101,39.34953934,20,2
8.94504783,39.34954882,20,2
8.94504465,39.34955829,20,2
8.94504148,39.34956777,20,2
8.9450383,39.34957725,20,2
8.94503512,39.34958673,20,2
8.94503195,39.34959621,20,2
8.94502877,39.34960568,20,2
8.94502559,39.34961516,20,2
8.94502242,39.34962464,20,2
8.94501924,39.34963412,20,2
8.94501606,39.34964359,20,2
8.94501288,39.34965307,20,2
8.94500971,39.34966255,20,2
8.94500653,39.34967203,20,2
8.94500335,39.3496815,20,2
8.94500018,39.34969098,20,2
8.944997,39.34970046,20,2
8.94499382,39.34970994,20,2
8.94499065,39.34971942,20,2
8.94498747,39.34972889,20,2
8.94498429,39.34973837,20,2
8.94498112,39.34974785,20.04174007,2
8.94497794,39.34975733,20.08732692,2
8.94497476,39.3497668,20.1343233,2
8.94497158,39.34977628,20.1827292,2
8.94496841,39.34978576,20.23254463,2
8.94496523,39.34979524,20.28376957,2
8.94496205,39.34980471,20.33640403,2
8.94495888,39.34981419,20.39044802,2
8.9449557,39.34982367,20.44590153,2
8.94495252,39.34983315,20.50276455,2
8.94494935,39.34984263,20.5610371,2
8.94494617,39.3498521,20.62071917,2
8.94494299,39.34986158,20.68181076,2
8.94493982,39.34987106,20.74431188,2
8.94493664,39.34988054,20.80822251,2
8.94493346,39.34989001,20.87354266,2
8.94493028,39.34989949,20.94027234,2
8.94492711,39.34990897,20.99715769,2
8.94492393,39.34991845,21,2
8.94492075,39.34992792,21,2
8.94491758,39.3499374,21,2
8.9449144,39.34994688,21,2
8.94491122,39.34995636,21,2
8.94490805,39.34996584,21,2
8.94490487,39.34997531,21,2
8.94490169,39.34998479,21,2
8.94489852,39.34999427,21,2
8.94489534,39.35000375,21,2
8.94489216,39.35001322,21,2
8.94488898,39.3500227,21,2
8.94488581,39.35003218,21,2
8.94488263,39.35004166,21,2
8.94487945,39.35005113,21,2
8.94487628,39.35006061,21,2
8.9448731,39.35007009,21,2
8.94486992,39.35007957,21,2
8.94486675,39.35008905,21,2
8.94486357,39.35009852,21,2
8.94486039,39.350108,21,2
8.94485722,39.35011748,21,2
8.94485404,39.35012696,21,2
8.94485086,39.35013643,21,2
8.94484768,39.35014591,21,2
8.94484451,39.35015539,21,2
8.94484133,39.35016487,21,2
8.94483815,39.35017434,21,2
8.94483498,39.35018382,21,2
8.9448318,39.3501933,21,2
8.94482899,39.35020286,21,2
8.94482618,39.35021241,21,2
8.94482337,39.35022197,21,2
8.94482056,39.35023153,21,2
8.94481775,39.35024109,21,2
8.94481494,39.35025064,21,2
8.94481213,39.3502602,21,2
8.94480932,39.35026976,21,2
8.94480651,39.35027932,21,2
8.94480371,39.35028887,21,2
8.9448009,39.35029843,21,2
8.94479809,39.35030799,21,2
8.94479528,39.35031755,21,2
8.94479247,39.3503271,21,2
8.94478966,39.35033666,21,2
8.94478685,39.35034622,21,2
8.94478404,39.35035578,21,2
8.94478123,39.35036533,21,2
8.94477842,39.35037489,21,2
8.94477561,39.35038445,21,2
8.9447728,39.35039401,21,2
8.94476999,39.35040356,21,2
8.94476718,39.35041312,21,2
8.94476437,39.35042268,21,2
8.94476156,39.35043224,21,2
8.94475875,39.35044179,21,2
8.94475594,39.35045135,21,2
8.94475314,39.35046091,21,2
8.94475033,39.35047047,21,2
8.94474752,39.35048002,21,2
8.94474471,39.35048958,21,2
8.9447419,39.35049914,21,2
8.94473909,39.3505087,21,2
8.94473628,39.35051825,21,2
8.94473347,39.35052781,21,2
8.94473066,39.35053737,21,2
8.94472785,39.35054693,21,2
8.94472504,39.35055648,21,2
8.94472223,39.35056604,21,2
8.94471942,39.3505756,21,2
8.94471661,39.35058515,21,2
8.9447138,39.35059471,21,2
8.94471099,39.35060427,21,2
8.94470818,39.35061383,21,2
8.94470537,39.35062338,21,2
